ID,Prof,Rating_Weight_1,Rating_Weight_2,Rating_Weight_3,Rating_Weight_4,Rating_Weight_5,Rating_Weight_6,Rating_Weight_7,Rating_Weight_8,Rating_Weight_9,Rating_Weight_10,Rating_Weight_11,Ranking_Weight_1,Ranking_Weight_2,Ranking_Weight_3,Ranking_Weight_4,Ranking_Weight_5,Ranking_Weight_6,Ranking_Weight_7,Ranking_Weight_8,Ranking_Weight_9,Ranking_Weight_10,Ranking_Weight_11
R_RklGUBv097XkF5T,Somewhat experienced: architecture student,4,5,6,4,6,3,5,6,3,7,4,8,7,9,1,6,2,11,5,4,10,3
R_26b4TfS2tPjXT2e,Very Experienced: architecture professional,8,7,10,9,10,7,9,8,9,10,8,3,5,1,9,6,10,11,2,7,8,4
R_Ol0drfaRDj3X9K1,Very Experienced: architecture professional,5,6,8,4,4,8,5,6,8,6,6,8,1,6,11,7,2,4,10,3,5,9
R_2ZHsb6WeYlMuRRO,Very Experienced: architecture professional,3,4,6,6,5,6,4,7,4,7,4,7,1,8,10,4,11,9,2,5,3,6
R_STVdJfXjiXXeOo9,No experience: no architectural or construction training,6,3,6,4,6,6,5,6,4,6,7,9,5,2,8,1,4,10,11,6,7,3
R_3LbtnvaHxkJfmjS,Very Experienced: architecture professional,9,8,10,8,9,10,7,8,9,10,9,10,6,5,9,8,4,2,1,11,3,7
R_cGtlFmResYyKqg9,Somewhat experienced: architecture student,8,8,6,5,4,7,6,7,5,7,5,3,10,4,8,1,9,5,2,11,7,6
R_3339JAMARuEm8Pv,Very Experienced: architecture professional,4,4,4,6,7,6,4,3,6,8,6,7,8,1,3,4,6,5,9,11,2,10
R_2uORmIOJ9fE7OBs,Very Experienced: architecture professional,3,8,5,4,4,6,3,4,8,5,3,8,6,1,3,10,9,4,7,5,11,2
R_3n60rdGJ4LT70b4,Very Experienced: architecture professional,6,3,5,7,3,9,3,5,3,9,3,5,3,4,9,6,11,10,1,2,8,7
